,Country,Ranking,Year,Total,Antidiscrimination Legislation,Marriage / Civil Partnership,Adoption Allowed,LGBT Marketing,Equal Age of Consent,Religious Influence,HIV Travel Restrictions,Anti-Gay Laws,Homosexuality Illegal,Pride Banned,Locals Hostile,Prosecution,Murders,Death Sentence,Trans Gender Rights,Intersex / 3rd Option,Conversion Therapy
1099,Macao,81,2021,-4,1,-1,0,0,0,0,0,0,0,0,-1,0,0,0,-1,-1,-1
1100,Mali,81,2021,-4,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1
1101,Mongolia,81,2021,-4,1,-1,0,0,0,0,0,-1,0,0,-1,0,0,0,0,-1,-1
1102,Niger,81,2021,-4,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1
1103,Belize,96,2021,-5,1,-1,0,0,0,-1,0,-1,0,0,0,0,0,0,-1,-1,-1
1104,Benin,96,2021,-5,0,-1,0,0,-1,0,0,0,0,0,-1,0,0,0,0,-1,-1
1105,British US Virgin Islands,96,2021,-5,3,-1,0,0,0,-2,0,-1,0,0,-1,0,0,0,-1,-1,-1
1106,Cambodia,96,2021,-5,0,-1,0,0,0,0,0,-1,0,0,0,0,0,0,-1,-1,-1
1107,Georgia,96,2021,-5,2,-1,0,0,0,-2,0,-1,0,0,-1,0,-1,0,1,-1,-1
1108,Moldova,96,2021,-5,1,-1,0,0,0,-1,0,-1,0,-1,-1,0,0,0,1,-1,-1
1109,Pakistan,96,2021,-5,1,-1,0,0,1,-2,0,-1,-1,0,-1,-1,-1,-1,2,1,-1
1110,Oman,150,2021,-10,0,-1,0,0,0,-1,-1,-1,-1,0,-1,-1,0,0,-1,-1,-1
1111,Papua New Guinea,150,2021,-10,0,-1,0,0,0,-2,0,-1,-1,0,-2,0,0,0,-1,-1,-1
1112,Paraguay,150,2021,-10,0,-1,0,0,-1,-1,0,-1,0,0,-1,0,-2,0,-1,-1,-1
1113,Togo,150,2021,-10,0,-1,0,0,0,-1,0,-1,-1,0,-2,-1,0,0,-1,-1,-1
1114,Uzbekistan,150,2021,-10,0,-1,0,0,0,-2,0,-1,-1,0,-2,-1,0,0,0,-1,-1
1115,Zambia,150,2021,-10,0,-1,0,0,0,-2,0,-1,-1,0,-2,-1,0,0,0,-1,-1
1116,Brunei,160,2021,-11,0,-1,0,0,0,-2,-1,-1,-1,0,-1,0,0,-1,-1,-1,-1
1117,Chad,160,2021,-11,0,-1,0,0,-1,-2,0,-1,-1,0,-2,-1,0,0,-1,-1,0
1118,Comoros Islands,160,2021,-11,0,-1,0,0,0,-2,0,-1,-1,0,-2,-1,0,0,-1,-1,-1
1119,Dominica,160,2021,-11,0,-1,0,0,0,-2,0,-1,-1,0,-2,-1,0,0,-1,-1,-1
1120,Dominican Republic,160,2021,-11,0,-1,0,0,0,-2,-1,-1,0,0,-1,0,-2,0,-1,-1,-1
1121,Ethiopia,160,2021,-11,0,-1,0,0,0,-2,0,-1,-1,0,-2,-1,0,0,-1,-1,-1
1122,Ghana,160,2021,-11,0,-1,0,0,0,-2,0,-1,-1,0,-2,-1,0,0,-1,-1,-1
1123,Ivory Coast,160,2021,-11,0,-1,-1,0,-1,-2,0,-1,0,0,-2,0,0,0,-1,-1,-1
1124,Liberia,160,2021,-11,0,-1,0,0,0,-2,0,-1,-1,0,-2,-1,0,0,-1,-1,-1
1125,Maldives,160,2021,-11,0,-1,0,0,0,-2,0,-1,-1,0,-2,-1,0,0,-1,-1,-1
1126,Senegal,160,2021,-11,0,-1,0,0,0,-2,0,-1,-1,0,-2,-1,0,0,-1,-1,-1
1127,Solomon Islands,160,2021,-11,0,-1,0,0,0,-2,-1,-1,-1,0,-2,0,0,0,-1,-1,-1
1128,Sudan,160,2021,-11,0,-1,0,0,-1,-2,-1,-1,-1,0,-2,0,0,0,-1,0,-1
1129,Swaziland,160,2021,-11,0,-1,0,0,0,-2,0,-1,-1,0,-2,0,-2,0,0,-1,-1
1130,Syria,160,2021,-11,0,-1,0,0,0,-1,-1,-1,-1,0,-2,-1,-1,-1,1,-1,-1
1131,Turkmenistan,160,2021,-11,0,-1,0,0,0,-2,-1,-1,-1,0,-2,-1,0,0,0,-1,-1
1132,Eritrea,176,2021,-12,0,-1,0,0,0,-2,0,-1,-1,0,-2,-1,-1,0,-1,-1,-1
1133,Gambia,176,2021,-12,0,-1,-1,0,0,-2,0,-1,-1,0,-2,-1,0,0,-1,-1,-1
1134,Haiti,176,2021,-12,0,-1,0,0,0,-2,0,-1,0,-1,-2,0,-2,0,-1,-1,-1
1136,Iraq,176,2021,-12,0,-1,0,0,-1,-2,-1,0,0,0,-2,-1,-1,0,-1,-1,-1
1137,Jamaica,176,2021,-12,0,-1,0,0,0,-1,0,-1,-1,0,-2,-1,-2,0,-1,-1,-1
1138,Malawi,176,2021,-12,0,-1,0,0,0,-2,0,-1,-1,0,-2,-1,-2,0,0,-1,-1
1139,Malaysia,176,2021,-12,0,-1,0,0,0,-2,-1,-1,-1,-1,-1,-1,-1,0,0,-1,-1
1140,Mauritania,176,2021,-12,0,-1,0,0,0,-2,0,-1,-1,0,-2,-1,0,-1,-1,-1,-1
1141,Morocco,176,2021,-12,0,-1,0,0,0,-1,0,-1,-1,0,-2,-2,-1,0,-1,-1,-1
1142,Russia,176,2021,-12,0,-1,0,0,0,-2,-1,-1,0,-1,-2,-1,-2,0,1,-1,-1
1143,Tanzania,176,2021,-12,0,-1,0,0,-1,-2,0,-1,-1,0,-2,-2,0,0,0,-1,-1
1144,Uganda,176,2021,-12,0,-1,0,0,0,-2,0,-1,-1,-1,-2,-1,0,0,-1,-1,-1
1145,Zimbabwe,176,2021,-12,0,-1,0,0,0,-1,0,-1,-1,0,-2,-1,-2,0,-1,-1,-1
1146,Cameroon,190,2021,-13,0,-1,0,0,0,-2,0,-1,-1,0,-2,-1,-2,0,-1,-1,-1
1147,Egypt,190,2021,-13,0,-1,0,0,-1,-2,0,-1,-1,0,-2,-2,0,0,-1,-1,-1
1148,Kuwait,190,2021,-13,0,-1,0,0,0,-2,-1,-1,-1,0,-2,-2,0,0,-1,-1,-1
1149,Nigeria,190,2021,-13,0,-1,0,0,0,-1,0,-1,-1,0,-2,-1,0,-3,-1,-1,-1
1150,Qatar,190,2021,-13,0,-1,0,0,0,-2,-1,-1,-1,0,-2,-1,0,-1,-1,-1,-1
1151,Afghanistan,195,2021,-14,0,-1,0,0,0,-2,0,-1,-1,0,-2,-1,-2,-1,-1,-1,-1
1152,Libya,195,2021,-14,0,-1,0,0,0,-2,0,-1,-1,0,-2,-1,-2,-1,-1,-1,-1
1153,United Arab Emirates,195,2021,-14,0,-1,0,0,0,-2,-1,-1,-1,0,-2,-1,-1,-1,-1,-1,-1
1154,Yemen,198,2021,-15,0,-1,0,0,0,-2,-1,-1,-1,0,-2,-1,-2,-1,-1,-1,-1
1155,Iran,199,2021,-17,0,-1,0,0,0,-2,0,-1,-1,0,-2,-1,-2,-5,0,-1,-1
1156,Saudi Arabia,200,2021,-18,0,-1,0,0,0,-2,-1,-1,-1,0,-2,-1,-1,-5,-1,-1,-1
1157,Somalia,200,2021,-18,0,-1,0,0,0,-2,0,-1,-1,0,-2,-1,-2,-5,-1,-1,-1
1158,Chechnya,202,2021,-19,0,-1,0,0,-1,-2,0,-1,-1,-1,-2,-2,-2,-5,0,-1,0
1159,Seychelles,96,2021,-5,1,-1,0,0,0,-1,0,0,0,0,-1,0,0,0,-1,-1,-1
1160,Singapore,96,2021,-5,0,-1,0,0,0,0,-1,-1,-1,0,0,0,0,0,1,-1,-1
1161,Sri Lanka,96,2021,-5,1,-1,1,0,0,-1,0,-1,-1,0,-1,0,0,0,0,-1,-1
1162,Suriname,96,2021,-5,1,-1,0,0,-1,-1,1,0,0,0,-1,0,0,0,-1,-1,-1
1163,Antigua & Barbuda,107,2021,-6,0,-1,0,0,0,0,0,-1,-1,0,0,0,0,0,-1,-1,-1
1164,Barbados,107,2021,-6,1,-1,0,0,0,-1,0,-1,-1,0,0,0,0,0,-1,-1,-1
1165,Gabon,107,2021,-6,0,-1,0,0,0,-1,0,0,0,0,-2,0,0,0,0,-1,-1
1166,Guinea-Bissau,107,2021,-6,0,-1,0,0,0,-1,0,0,0,0,-1,0,0,0,-1,-1,-1
1167,Jordan,107,2021,-6,0,-1,0,0,0,-2,0,0,0,0,-2,0,0,0,1,-1,-1
1168,Kyrgyzstan,107,2021,-6,0,-1,0,0,0,-1,0,-1,0,0,-2,0,0,0,1,-1,-1
1169,Namibia,107,2021,-6,0,-1,1,0,0,-1,0,-1,-1,0,0,0,0,0,-1,-1,-1
1170,Peru,107,2021,-6,1,-1,0,0,0,-1,0,-1,0,0,-1,0,-2,0,1,-1,-1
1171,Ukraine,107,2021,-6,1,-1,0,0,0,-1,0,-1,0,-1,-2,0,0,0,1,-1,-1
1172,Vanuatu,107,2021,-6,0,-1,0,0,0,-1,0,0,0,0,-1,0,0,0,-1,-1,-1
1173,Burkina Faso,117,2021,-7,0,-1,0,0,0,-2,0,0,0,0,-2,0,0,0,0,-1,-1
1174,Honduras,117,2021,-7,2,-1,0,0,0,-1,0,-1,0,0,-2,0,-1,0,-1,-1,-1
1175,Lebanon,117,2021,-7,0,-1,0,0,0,-1,0,0,-1,-1,-1,-1,0,0,1,-1,-1
1176,Mauritius,117,2021,-7,1,-1,0,0,0,-1,0,-1,-1,0,0,-1,0,0,-1,-1,-1
1177,Myanmar,117,2021,-7,0,-1,0,0,0,0,0,-1,-1,0,-1,0,0,0,-1,-1,-1
1178,Nicaragua,117,2021,-7,1,-1,0,0,0,-1,0,-1,0,0,-2,0,0,0,-1,-1,-1
1179,Philippines,117,2021,-7,0,-1,0,0,0,-1,0,0,0,-1,0,0,-1,0,-1,-1,-1
1180,Turkey,117,2021,-7,0,-1,0,0,0,-1,0,0,0,-1,-1,-1,-1,0,1,-1,-1
1181,Venezuela,117,2021,-7,1,-1,0,0,0,-1,-1,0,0,0,-2,0,-1,0,0,-1,-1
1182,Bangladesh,126,2021,-8,0,-1,0,0,0,-2,0,-1,-1,0,-2,-1,-1,0,1,1,-1
1183,Cook Islands,126,2021,-8,1,-1,0,0,0,-2,-1,-1,-1,0,-1,0,0,0,0,-1,-1
1184,Equatorial Guinea,126,2021,-8,0,-1,0,0,0,-2,0,0,0,0,-2,0,0,0,-1,-1,-1
1185,Poland,126,2021,-8,1,-1,0,0,0,-1,0,-2,0,-1,-2,0,0,0,0,-1,-1
1186,Tajikistan,126,2021,-8,0,-1,0,0,0,-2,0,-1,0,0,-2,-1,0,0,1,-1,-1
1187,Trinidad & Tobago,126,2021,-8,0,-1,0,0,0,-1,-1,0,0,0,-1,0,-1,0,-1,-1,-1
1188,Algeria,132,2021,-9,0,-1,0,0,0,-2,0,-1,-1,0,0,-1,0,0,-1,-1,-1
1189,Bahamas,132,2021,-9,0,-1,0,0,-1,-1,0,-1,0,0,-2,0,-2,0,1,-1,-1
1190,Bahrain,132,2021,-9,0,-1,0,0,0,-2,-1,0,0,0,-2,-1,0,0,0,-1,-1
1191,Burundi,132,2021,-9,0,-1,0,0,0,-1,0,-1,-1,0,-1,-1,0,0,-1,-1,-1
1192,Central African Republic,132,2021,-9,0,-1,0,0,0,-2,0,-1,-1,0,-2,0,0,0,-1,-1,0
1193,Dem. Rep. of Congo,132,2021,-9,0,-1,0,0,0,-2,0,-1,0,0,-2,0,0,0,-1,-1,-1
1194,Djibouti,132,2021,-9,0,-1,0,0,0,-2,0,0,0,0,-2,-1,0,0,-1,-1,-1
1195,Grenada,132,2021,-9,0,-1,0,0,0,-1,0,-1,-1,0,-1,-1,0,0,-1,-1,-1
1196,Guatemala,132,2021,-9,0,-1,0,0,0,-1,0,0,0,0,-2,0,-2,0,-1,-1,-1
1197,Indonesia,132,2021,-9,0,-1,-1,0,-1,-1,0,0,0,0,-2,-1,0,0,0,-1,-1
1198,Korea North,132,2021,-9,0,-1,0,0,-1,-2,0,-1,0,0,-1,0,0,0,-1,-1,-1
1199,Madagascar,132,2021,-9,0,-1,0,0,-1,-1,0,0,0,0,-2,0,-2,0,0,-1,-1
1200,Republic of the Congo,132,2021,-9,0,-1,0,0,-1,-2,0,-1,0,0,-2,0,0,0,0,-1,-1
1201,Rwanda,132,2021,-9,0,-1,0,0,0,-2,0,-1,0,0,-2,0,0,0,-1,-1,-1
1202,Sierra Leone,132,2021,-9,0,-1,0,0,-1,-1,0,-1,-1,0,-2,0,0,0,-1,0,-1
1203,Tonga,132,2021,-9,0,-1,0,0,0,-2,0,-1,-1,0,-1,0,0,0,-1,-1,-1
1204,Tunisia,132,2021,-9,0,-1,0,0,0,-1,0,-1,-1,0,-1,0,-1,0,-1,-1,-1
1205,Vatican City,132,2021,-9,0,-1,0,0,-1,-2,0,-1,0,0,0,-1,0,0,-1,-1,-1
1206,Azerbaijan,150,2021,-10,0,-1,0,0,0,-1,0,-1,0,-1,-1,-2,0,0,-1,-1,-1
1207,Belarus,150,2021,-10,0,-1,0,0,0,-1,0,-1,0,-1,-2,-2,0,0,0,-1,-1
1208,Guyana,150,2021,-10,0,-1,0,0,0,-2,0,-1,-1,0,-1,0,-1,0,-1,-1,-1
1209,Kenya,150,2021,-10,0,-1,-1,0,0,-1,0,-1,-1,0,-2,-1,0,0,0,-1,-1
1210,Canada,1,2021,13,3,2,2,2,0,0,0,0,0,0,1,0,0,0,2,1,0
1211,Malta,2,2021,11,2,2,2,1,0,0,0,0,0,0,-1,0,0,0,2,2,1
1212,Portugal,2,2021,11,3,2,2,1,0,0,0,0,0,0,0,0,0,0,2,1,0
1213,Spain,2,2021,11,2,2,2,1,0,0,0,0,0,0,1,0,0,0,2,1,0
1214,Austria,5,2021,10,2,2,2,2,0,0,0,0,0,0,0,0,0,0,2,1,-1
1215,Denmark,5,2021,10,2,2,2,1,0,0,0,0,0,1,1,0,0,0,2,0,-1
1216,Sweden,5,2021,10,3,2,2,2,0,0,0,0,0,1,1,0,0,0,1,-1,-1
1217,United Kingdom,5,2021,10,3,2,2,2,0,-1,0,0,0,0,1,0,0,0,2,-1,0
1218,Uruguay,5,2021,10,2,2,2,0,0,0,0,0,0,0,0,0,-1,0,2,2,1
1219,Australia,10,2021,9,2,2,2,0,0,0,-1,0,0,0,1,0,0,0,2,1,0
1220,Germany,10,2021,9,2,2,2,1,0,0,0,0,0,0,-1,0,0,0,1,1,1
1221,Iceland,10,2021,9,2,2,2,0,0,0,0,0,0,0,1,0,0,0,2,1,-1
1222,Taiwan,10,2021,9,3,2,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1
1223,Colombia,14,2021,8,2,2,2,1,0,0,0,0,0,0,0,0,-1,0,2,1,-1
1224,Netherlands,14,2021,8,2,2,2,1,0,0,0,0,0,0,0,0,0,0,2,0,-1
1225,New Zealand,14,2021,8,2,2,2,0,0,0,0,0,0,0,1,0,0,0,1,1,-1
1226,Switzerland,14,2021,8,3,1,1,1,0,0,0,0,0,0,0,0,0,0,2,-1,1
1227,Belgium,18,2021,7,2,2,2,1,0,0,0,0,0,0,0,0,0,0,2,-1,-1
1228,Greenland,18,2021,7,1,2,2,0,0,0,0,0,0,0,0,0,0,0,2,1,-1
1229,Ireland,18,2021,7,2,2,2,0,0,0,0,0,0,0,1,0,0,0,2,-1,-1
1230,Norway,18,2021,7,2,2,2,0,0,0,0,0,0,0,1,0,0,0,2,-1,-1
1231,Argentina,22,2021,6,1,2,2,1,0,-1,0,0,0,0,0,0,-1,0,2,-1,1
1232,Finland,22,2021,6,3,2,2,0,0,0,0,0,0,0,0,0,0,0,1,-1,-1
1233,France,22,2021,6,2,2,2,0,0,0,0,0,0,0,0,0,0,0,2,-1,-1
1234,Luxembourg,22,2021,6,2,2,2,0,0,0,0,0,0,0,0,0,0,0,2,-1,-1
1235,Reunion,22,2021,6,2,2,2,0,0,0,0,0,0,0,0,0,0,0,2,-1,-1
1236,French Polynesia,27,2021,5,2,2,2,0,0,-1,0,0,0,0,0,0,0,0,2,-1,-1
1237,New Caledonia,27,2021,5,2,2,2,0,0,0,0,0,0,0,-1,0,0,0,2,-1,-1
1238,Puerto Rico,27,2021,5,1,2,2,1,0,-1,0,0,0,0,-1,0,-2,0,2,0,1
1239,South Africa,27,2021,5,3,2,2,0,0,0,0,0,0,0,0,0,-1,0,1,-1,-1
1240,Costa Rica,31,2021,4,2,2,2,0,0,-1,0,0,0,0,-1,0,0,0,2,-1,-1
1241,Ecuador,31,2021,4,3,2,0,0,0,-1,0,0,0,0,-1,0,-1,0,2,-1,1
1242,Guadeloupe,31,2021,4,2,2,2,0,0,-1,0,0,0,0,-1,0,0,0,2,-1,-1
1243,Israel,31,2021,4,2,1,1,1,0,-1,0,0,0,0,0,0,0,0,2,-1,-1
1244,Martinique,31,2021,4,2,2,2,0,0,-1,0,0,0,0,-1,0,0,0,2,-1,-1
1245,USA,31,2021,4,1,2,2,2,0,-1,0,0,0,0,0,0,-1,0,-1,0,0
1246,Gibraltar,37,2021,3,2,2,2,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1
1247,Guam,37,2021,3,1,2,2,0,0,-1,0,0,0,0,0,0,0,0,1,-1,-1
1248,Slovenia,37,2021,3,3,2,1,0,0,-1,0,0,0,0,0,0,0,0,0,-1,-1
1249,Andorra,40,2021,2,3,1,2,0,0,0,0,0,-1,0,0,0,0,0,-1,-1,-1
1250,Brazil,40,2021,2,2,2,2,0,0,-1,0,0,0,0,-1,0,-2,0,0,-1,1
1251,Chile,40,2021,2,2,1,0,0,-1,-1,0,0,0,0,0,0,-1,0,2,1,-1
1252,Czech Republic,40,2021,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1
1253,Estonia,40,2021,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,-1,-1
1254,Mexico,40,2021,2,3,1,1,1,0,-1,0,0,0,0,-1,0,-2,0,1,-1,0
1255,Cuba,46,2021,1,3,0,0,0,0,0,-1,0,0,0,0,0,0,0,1,-1,-1
1256,Greece,46,2021,1,2,1,0,0,0,-1,0,0,0,0,0,0,-1,0,2,-1,-1
1257,India,46,2021,1,1,0,0,0,0,-1,0,0,0,1,-1,0,0,0,1,1,-1
1258,San Marino,46,2021,1,3,1,1,0,0,-2,0,0,0,0,-1,0,0,0,1,-1,-1
1259,Thailand,46,2021,1,2,0,0,2,0,0,0,0,0,0,0,0,0,0,-1,-1,-1
1260,Bermuda,51,2021,0,1,2,1,0,0,0,0,0,0,0,-1,0,0,0,-1,-1,-1
1261,Canada,1,2020,12,3,2,2,2,0,0,0,0,0,0,0,0,0,0,2,1,0
1262,Malta,1,2020,12,2,2,2,1,0,0,0,0,0,0,0,0,0,0,2,2,1
1263,Sweden,1,2020,12,3,2,2,2,0,0,0,0,0,1,0,0,0,0,3,0,-1
1264,Austria,4,2020,11,2,2,2,2,0,0,0,0,0,1,0,0,0,0,2,1,-1
1265,Argentina,5,2020,9,1,2,2,2,0,-1,0,0,0,0,0,0,-1,0,2,1,1
1266,Netherlands,5,2020,9,2,2,2,0,0,0,0,0,0,0,0,0,0,0,2,1,0
1267,Spain,5,2020,9,2,2,2,2,0,0,0,0,0,0,0,0,0,0,2,-1,0
1268,United Kingdom,5,2020,9,3,2,2,2,0,-1,0,0,0,0,0,0,0,0,2,-1,0
1269,Uruguay,5,2020,9,2,2,2,0,0,0,0,0,0,0,0,0,0,0,1,1,1
1270,Denmark,10,2020,8,2,2,2,0,0,0,0,0,0,0,0,0,0,0,2,1,-1
1271,Germany,10,2020,8,2,2,2,1,0,0,0,0,0,0,-1,0,0,0,1,1,0
1272,Iceland,10,2020,8,2,2,2,0,0,0,0,0,0,0,0,0,0,0,2,1,-1
1273,New Zealand,10,2020,8,2,2,2,0,0,0,0,0,0,0,0,0,0,0,2,1,-1
1274,Portugal,10,2020,8,3,2,2,1,0,0,0,0,0,0,0,0,0,0,2,-1,-1
1275,Belgium,15,2020,7,2,2,2,1,0,0,0,0,0,0,0,0,0,0,2,-1,-1
1276,Colombia,15,2020,7,2,2,2,1,0,0,0,0,0,0,0,0,-1,0,1,1,-1
1277,Switzerland,15,2020,7,3,1,1,1,0,0,0,0,0,0,0,0,0,0,2,-1,0
1278,Australia,18,2020,6,1,2,1,0,0,0,-1,0,0,0,0,0,0,0,2,1,0
1279,Finland,18,2020,6,3,2,2,0,0,0,0,0,0,0,0,0,0,0,1,-1,-1
1280,Luxembourg,18,2020,6,2,2,2,0,0,0,0,0,0,0,0,0,0,0,2,-1,-1
1281,Norway,18,2020,6,2,2,2,0,0,0,0,0,0,0,0,0,0,0,2,-1,-1
1282,Reunion,18,2020,6,2,2,2,0,0,0,0,0,0,0,0,0,0,0,2,-1,-1
1283,France,23,2020,5,2,2,2,0,0,0,0,0,0,0,-1,0,0,0,2,-1,-1
1284,Gibraltar,23,2020,5,2,2,2,0,0,0,0,0,0,0,0,0,0,0,1,-1,-1
1285,Greenland,23,2020,5,2,2,2,0,0,0,0,0,0,0,0,0,0,0,1,-1,-1
1286,Ireland,23,2020,5,2,2,2,0,0,0,0,0,0,0,0,0,0,0,1,-1,-1
1287,Israel,23,2020,5,2,1,2,1,0,-1,0,0,0,0,0,0,0,0,2,-1,-1
1288,Puerto Rico,23,2020,5,2,2,2,1,0,-1,0,0,0,0,-1,0,-2,0,2,-1,1
1289,South Africa,23,2020,5,3,2,2,0,0,0,0,0,0,0,-1,0,-1,0,1,-1,0
1290,Taiwan,23,2020,5,2,2,0,1,0,0,-1,0,0,0,0,0,0,0,1,-1,1
1291,French Polynesia,31,2020,4,2,2,2,0,0,-1,0,0,0,0,0,0,0,0,1,-1,-1
1292,New Caledonia,31,2020,4,2,2,2,0,0,0,0,0,0,0,-1,0,0,0,1,-1,-1
1293,USA,31,2020,4,1,2,2,2,0,-1,0,0,0,0,0,0,-1,0,-1,0,0
1294,Andorra,34,2020,3,3,1,2,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1
1295,Guadeloupe,34,2020,3,2,2,2,0,0,-1,0,0,0,0,-1,0,0,0,1,-1,-1
1296,Martinique,34,2020,3,2,2,2,0,0,-1,0,0,0,0,-1,0,0,0,1,-1,-1
1297,Slovenia,34,2020,3,3,2,1,0,0,-1,0,0,0,0,0,0,0,0,0,-1,-1
1298,Czech Republic,38,2020,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1
1299,Estonia,38,2020,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1
1300,Guam,38,2020,2,1,2,0,0,0,0,0,0,0,0,-1,0,0,0,2,-1,-1
1301,Chile,41,2020,1,1,1,0,0,-1,-1,0,0,0,0,0,0,-1,0,2,1,-1
1302,Ecuador,41,2020,1,3,2,0,0,0,-1,-1,0,0,0,-1,0,0,0,1,-1,-1
1303,Italy,41,2020,1,1,1,0,1,0,-1,0,0,0,0,0,0,0,0,1,-1,-1
1304,Liechtenstein,41,2020,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1
1305,Nepal,41,2020,1,3,-1,0,0,0,-1,0,0,0,0,-1,0,0,0,1,1,-1
1306,Slovakia,41,2020,1,2,1,0,0,0,0,0,0,0,0,-1,0,0,0,1,-1,-1
1307,Thailand,41,2020,1,2,1,0,2,0,0,0,0,0,0,-1,0,0,0,-1,-1,-1
1308,India,48,2020,0,1,-1,0,0,0,-1,0,0,0,1,-1,0,0,0,1,1,-1
1309,Bermuda,49,2020,-1,1,1,0,0,0,0,0,0,0,0,-1,0,0,0,0,-1,-1
1310,Bolivia,49,2020,-1,2,-1,0,0,0,-1,0,0,0,0,-1,0,0,0,2,-1,-1
1311,Brazil,49,2020,-1,1,2,2,0,0,-1,0,0,0,0,-1,0,-2,0,-2,-1,1
1312,Belize,103,2020,-6,1,-1,0,0,0,-1,0,-1,0,0,-1,0,0,0,-1,-1,-1
1313,Gabon,103,2020,-6,0,-1,0,0,0,-1,0,0,0,0,-2,0,0,0,0,-1,-1
1314,Georgia,103,2020,-6,2,-1,0,0,0,-2,0,0,0,0,-1,0,-1,0,-1,-1,-1
1315,Honduras,103,2020,-6,2,-1,0,0,0,-1,0,-1,0,0,-1,0,-1,0,-1,-1,-1
1316,Kyrgyzstan,103,2020,-6,0,-1,0,0,0,-1,-1,0,0,0,-2,0,0,0,1,-1,-1
1317,Peru,103,2020,-6,1,-1,0,0,0,-1,0,-1,0,0,-1,0,-2,0,1,-1,-1
1318,Poland,103,2020,-6,1,-1,0,0,0,-1,0,-2,0,0,-1,0,0,0,0,-1,-1
1319,Ukraine,103,2020,-6,1,-1,0,0,0,-1,0,-1,0,-1,-2,0,0,0,1,-1,-1
1320,Burkina Faso,111,2020,-7,0,-1,0,0,0,-2,0,0,0,0,-2,0,0,0,0,-1,-1
1321,Myanmar,111,2020,-7,0,-1,0,0,0,0,0,-1,-1,0,-1,0,0,0,-1,-1,-1
1322,Sri Lanka,111,2020,-7,1,-1,0,0,0,-1,-1,-1,-1,0,-1,0,0,0,0,-1,-1
1323,Turkey,111,2020,-7,0,-1,0,0,0,-1,0,0,0,-1,-1,-1,-1,0,1,-1,-1
1324,Vanuatu,111,2020,-7,0,-1,0,0,0,-1,-1,0,0,0,-1,0,0,0,-1,-1,-1
1325,Venezuela,111,2020,-7,1,-1,0,0,0,-1,0,0,0,0,-2,0,-1,0,-1,-1,-1
1326,Bhutan,117,2020,-8,0,-1,0,0,0,-2,-1,0,0,0,-1,0,0,0,-1,-1,-1
1327,Dem. Rep. of Congo,117,2020,-8,0,-1,0,0,0,-2,0,-1,0,0,-2,0,0,0,0,-1,-1
1328,Indonesia,117,2020,-8,0,-1,0,0,-1,-1,0,0,0,0,-2,-1,0,0,0,-1,-1
1329,Kenya,117,2020,-8,0,-1,0,0,-1,-1,0,-1,-1,0,-2,-1,0,0,0,1,-1
1330,Lebanon,117,2020,-8,0,-1,0,0,0,-1,0,-1,-1,-1,-1,-1,0,0,1,-1,-1
1331,Mauritius,117,2020,-8,1,-1,0,0,0,-1,0,-1,-1,0,-1,-1,0,0,-1,-1,-1
1332,Namibia,117,2020,-8,0,-1,0,0,-1,-1,0,-1,-1,0,0,0,0,0,-1,-1,-1
1333,Pakistan,117,2020,-8,1,-1,0,0,-1,-2,0,-1,-1,0,-1,-1,-1,-1,1,1,-1
1334,Republic of the Congo,117,2020,-8,0,-1,0,0,0,-2,0,-1,0,0,-2,0,0,0,0,-1,-1
1335,Rwanda,117,2020,-8,0,-1,0,0,0,-2,0,0,0,0,-2,0,0,0,-1,-1,-1
1336,Samoa,117,2020,-8,0,-1,0,0,-1,-2,0,-1,-1,0,-1,0,0,0,1,-1,-1
1337,Suriname,117,2020,-8,0,-1,0,0,-1,-1,-1,0,0,0,-1,0,0,0,-1,-1,-1
1338,Syria,117,2020,-8,0,-1,0,0,-1,-1,-1,-1,-1,0,-1,0,0,0,1,-1,-1
1339,Tajikistan,117,2020,-8,0,-1,0,0,0,-2,0,-1,0,0,-2,-1,0,0,1,-1,-1
1340,Algeria,131,2020,-9,0,-1,0,0,-1,-2,0,-1,-1,0,0,0,0,0,-1,-1,-1
1341,Antigua & Barbuda,131,2020,-9,0,-1,0,0,-1,0,0,-1,-1,0,-1,-1,0,0,-1,-1,-1
1342,Azerbaijan,131,2020,-9,0,-1,0,0,0,-1,0,-1,0,-1,-1,-2,0,0,0,-1,-1
1343,Bahamas,131,2020,-9,0,-1,0,0,-1,-1,0,-1,0,0,-2,0,-2,0,1,-1,-1
1344,Bahrain,131,2020,-9,0,-1,0,0,0,-2,0,0,0,0,-2,-1,0,0,-1,-1,-1
1345,Bangladesh,131,2020,-9,0,-1,0,0,-1,-2,0,-1,-1,0,-2,-1,-1,0,1,1,-1
